claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
3714,27,F,0,80,32976,1,1,Rent,80005,7/27/2015,Monday,Local,1,0,17,Online,1,5236.894767,5,Medium,23109.16272,other,12725.64015,0
3715,53,M,1,90,39691,1,1,Rent,20144,6/25/2016,Saturday,Local,0,0,74,Phone,0,4475.67832,3,Compact,17665.86855,gray,26615.42414,1
3716,43,M,1,85,37603,1,1,Rent,15012,3/4/2015,Wednesday,Highway,0,1,16,Broker,1,2125.093097,5,Compact,17996.13242,gray,30904.66292,0
3719,36,M,0,45,35832,1,1,Own,85026,5/22/2016,Sunday,Local,0,0,97,Broker,0,5137.953219,8,Large,15059.43459,red,36196.26163,0
3720,61,F,0,88,41105,1,0,Own,15025,10/10/2015,Saturday,Highway,0,0,99,Broker,0,6697.016329,5,Large,22017.67109,blue,17618.93793,0
3721,40,F,1,83,36884,0,1,Own,20156,11/10/2016,Thursday,Parking Lot,1,0,56,Phone,1,1936.46968,4,Large,32221.70993,gray,16789.33136,1
3722,49,M,1,93,38917,1,1,Own,80033,11/12/2016,Saturday,Local,0,0,5,Phone,1,7155.693616,4,Medium,25902.04622,black,6063.488648,0
3723,26,F,0,49,32575,0,1,Own,80031,11/18/2015,Wednesday,Local,1,0,15,Phone,0,9331.267654,5,Large,11514.93057,blue,22248.07514,0
3726,50,M,1,39,39139,1,1,Rent,50047,2/27/2016,Saturday,Local,1,0,15,Phone,1,4632.369421,6,Medium,25723.02761,silver,9866.695831,0
3727,56,M,1,62,40271,1,1,Rent,15052,1/1/2015,Thursday,Highway,1,1,34,Broker,0,2617.753358,8,Compact,15281.91584,silver,25590.50179,0
3729,30,M,1,87,34008,1,0,Rent,80105,8/9/2015,Sunday,Highway,0,0,43,Broker,1,2784.627641,4,Medium,26134.96451,blue,9752.542121,0
3731,51,M,1,84,39322,1,1,Rent,15032,1/15/2016,Friday,Parking Lot,0,1,19,Broker,1,5574.664089,10,Medium,7446.911952,other,12743.3326,0
3732,33,F,1,91,34967,0,1,Own,85083,10/18/2016,Tuesday,Highway,0,0,42,Broker,1,3265.610875,4,Medium,27407.67686,red,24855.00611,0
3733,32,F,1,42,34650,0,0,Rent,20129,7/3/2016,Sunday,Parking Lot,0,1,98,Broker,1,2865.571407,6,Medium,30222.99194,black,39171.17392,0
3734,48,M,1,87,38714,1,1,Rent,85072,5/2/2016,Monday,Local,0,1,87,Broker,1,6354.453623,1,Compact,46965.07757,silver,7837.436069,0
3735,54,M,1,69,39885,1,1,Own,85067,2/16/2015,Monday,Local,0,0,55,Broker,0,3121.023301,6,Compact,33030.02531,other,22363.38057,0
3737,44,M,0,92,37845,1,1,Own,15018,7/25/2016,Monday,Parking Lot,0,0,84,Broker,0,3223.696068,8,Compact,41277.19973,red,24107.11003,0
3739,68,M,1,80,42193,1,0,Rent,50003,5/5/2016,Thursday,Highway,0,1,50,Online,1,2877.265863,4,Large,19482.73786,black,34103.4593,0
3741,44,F,1,32,37827,1,1,Rent,15001,7/21/2015,Tuesday,Highway,0,0,24,Phone,0,2714.250214,3,Medium,13480.98117,gray,26720.31405,0
3743,50,F,1,36,39084,1,1,Own,80034,1/12/2015,Monday,Parking Lot,0,0,1,Broker,0,4165.024392,4,Large,15016.09939,red,22545.33694,0
3744,38,M,0,93,36375,1,1,Own,20144,7/17/2016,Sunday,Parking Lot,1,0,50,Phone,0,5071.243551,4,Compact,15204.88235,gray,39495.77431,0
3745,43,F,1,76,37609,1,1,Rent,50001,8/20/2015,Thursday,Highway,0,0,100,Broker,0,3219.145071,6,Compact,43495.52103,blue,31273.62991,0
3746,46,M,1,58,38275,1,1,Own,20137,6/12/2016,Sunday,Local,1,0,49,Phone,1,2457.589996,10,Large,27799.02789,black,21799.66948,0
3749,37,M,1,70,36114,1,0,Own,50013,9/11/2015,Friday,Local,0,0,21,Broker,0,7227.646619,4,Compact,15331.4041,silver,18967.88975,0
3750,48,M,0,94,38695,0,0,Own,85053,9/15/2016,Thursday,Parking Lot,0,1,95,Broker,1,3093.371087,12,Large,19547.67087,other,23648.23007,0
3752,68,M,1,79,42183,1,1,Rent,50025,12/23/2016,Friday,Local,1,1,19,Broker,1,4949.260067,4,Large,22903.37921,blue,44556.08672,0
3754,33,M,1,80,34970,1,0,Own,50054,4/10/2016,Sunday,Parking Lot,0,0,68,Broker,0,2503.926022,6,Compact,28181.28749,red,8107.677262,0
3755,35,M,1,84,35561,1,1,Own,20104,10/31/2015,Saturday,Local,0,1,100,Phone,1,2832.657686,4,Large,8840.157316,silver,16530.58179,1
3759,33,F,0,83,34960,1,0,Own,80015,7/19/2016,Tuesday,Parking Lot,0,0,82,Phone,0,6212.431722,3,Large,33787.42941,blue,26746.98633,1
3760,68,M,1,86,42183,1,1,Rent,85071,6/18/2015,Thursday,Highway,0,0,21,Phone,1,4904.419994,3,Medium,16820.00687,white,14503.49207,0
3761,52,F,0,80,39512,0,1,Own,15014,1/23/2015,Friday,Local,0,1,14,Broker,1,7739.924142,7,Compact,45758.95497,black,34011.26705,0
3762,34,M,1,91,35244,1,1,Own,20153,11/11/2016,Friday,Parking Lot,1,0,91,Broker,1,9197.609888,7,Compact,12490.04831,black,23230.99413,0
3764,55,M,1,59,40079,0,1,Rent,20142,12/1/2015,Tuesday,Local,1,0,24,Broker,1,4717.707916,4,Compact,25318.29498,gray,34949.16972,0
3766,60,F,1,76,40942,1,1,Own,80106,9/12/2015,Saturday,Highway,0,1,28,Broker,1,2724.200762,6,Medium,16380.20405,gray,53406.68399,0
3767,41,M,1,63,37119,0,1,Own,50031,12/14/2015,Monday,Highway,0,1,17,Broker,1,3432.258838,9,Large,45057.98643,blue,62423.7385,0
3768,63,F,1,31,41434,0,0,Own,20146,1/19/2015,Monday,Parking Lot,1,0,96,Broker,1,7733.568135,5,Large,34203.38782,black,24240.51493,0
3769,26,M,0,92,32584,1,0,Own,80031,12/17/2016,Saturday,Parking Lot,0,0,25,Online,1,6177.019134,5,Medium,16893.11682,white,14629.07418,0
3771,66,M,1,65,41907,1,0,Own,80016,1/24/2016,Sunday,Highway,0,0,87,Online,1,9861.384782,7,Medium,30807.67261,white,28449.74184,1
3772,53,M,0,95,39705,1,0,Own,20113,9/15/2016,Thursday,Highway,1,1,87,Broker,0,3535.48238,2,Large,14042.20131,other,75261.53618,0
3773,22,M,1,87,30888,1,1,Rent,20151,10/23/2015,Friday,Local,0,1,69,Online,0,5705.19787,1,Medium,30701.5311,white,18667.23427,0
3774,45,M,1,56,38071,1,0,Rent,50037,7/24/2016,Sunday,Local,0,0,6,Broker,0,4447.456678,3,Medium,32312.38521,black,8540.941457,0
3776,60,F,1,67,40954,0,1,Rent,85073,10/20/2016,Thursday,Local,0,0,1,Broker,1,2347.561616,4,Large,14414.09293,silver,11194.77114,0
3777,32,F,1,74,34662,1,1,Rent,80038,7/24/2016,Sunday,Highway,0,1,23,Broker,0,11534.35029,10,Compact,7341.855736,other,58512.09656,0
3778,58,M,1,71,40599,1,0,Own,50001,4/12/2015,Sunday,Local,0,1,45,Online,1,9757.102962,6,Medium,26970.04859,silver,23539.2437,0
3779,51,M,0,81,39339,1,0,Rent,80015,10/29/2016,Saturday,Local,0,0,13,Broker,0,6617.376089,5,Large,25496.11771,red,11307.83014,0
3780,30,M,1,83,34008,0,0,Rent,80109,5/9/2016,Monday,Local,0,0,0,Phone,0,6240.535392,6,Medium,23876.0621,silver,20518.12156,0
3781,59,F,1,91,40772,1,1,Own,85046,4/28/2016,Thursday,Local,1,0,59,Broker,1,7081.779458,2,Large,16291.21258,white,15440.31092,0
3782,43,M,0,73,37613,1,1,Own,85073,4/25/2016,Monday,Parking Lot,0,0,5,Phone,1,5123.693249,7,Medium,23347.38923,black,40880.06593,0
3786,44,M,1,68,37854,1,0,Own,15012,8/28/2015,Friday,Parking Lot,0,0,100,Broker,1,6476.26284,4,Medium,16876.696,silver,9540.151691,0
3791,46,F,1,90,38268,1,1,Own,20129,8/4/2015,Tuesday,Local,0,0,27,Phone,1,9437.481497,7,Medium,15636.6164,other,18230.92495,0
3792,35,M,1,66,35542,1,1,Rent,50049,7/29/2015,Wednesday,Local,0,0,59,Broker,1,1966.77516,6,Large,25012.08396,white,14704.68027,0
3793,32,M,1,91,34653,0,0,Own,85077,9/1/2015,Tuesday,Local,0,1,4,Phone,1,1587.391469,4,Large,18211.32572,silver,16799.41611,0
3794,43,F,0,66,37603,1,0,Own,50034,4/15/2016,Friday,Highway,0,1,50,Phone,1,4167.238966,3,Compact,34408.78228,other,52338.5353,0
3796,35,F,0,64,35551,0,1,Own,85022,9/14/2016,Wednesday,Local,1,0,50,Broker,1,6221.898834,7,Medium,28815.03951,white,40433.06323,1
3799,29,M,0,42,33680,1,0,Rent,85037,4/13/2016,Wednesday,Local,0,0,93,Phone,1,1484.904168,5,Large,54885.1942,other,7005.618095,0
3800,40,F,0,76,36907,1,1,Rent,50023,4/12/2015,Sunday,Local,0,1,51,Broker,1,2837.057552,2,Compact,14563.27441,blue,32139.32416,0
3802,41,M,1,76,37132,1,0,Rent,85071,4/7/2015,Tuesday,Parking Lot,0,0,22,Phone,0,3342.092985,7,Large,33766.86559,blue,9931.221137,0
3804,51,F,1,52,39320,1,1,Rent,50054,12/28/2016,Wednesday,Highway,0,0,2,Broker,1,4147.595482,3,Large,18029.41633,silver,9591.881108,0
3805,37,M,1,65,36118,1,1,Own,50046,3/28/2015,Saturday,Highway,1,0,90,Broker,1,4728.432438,4,Compact,13974.49858,other,38295.30193,0
3806,45,F,0,77,38071,1,0,Rent,50051,9/25/2016,Sunday,Local,0,0,74,Broker,0,12024.20452,7,Medium,14481.42857,red,14094.17409,0
3811,47,M,0,78,38515,1,0,Own,20144,9/5/2015,Saturday,Highway,0,0,49,Broker,1,6654.972007,4,Compact,8674.060031,silver,22365.75806,0
3812,42,M,0,63,37376,0,0,Rent,15017,8/26/2016,Friday,Highway,0,0,67,Phone,0,4130.921082,5,Compact,24221.43399,gray,6313.441543,0
3814,26,F,1,86,32578,1,1,Rent,80033,10/25/2015,Sunday,Highway,1,1,2,Online,1,11794.33432,3,Medium,12007.36271,red,17575.08591,0
3815,34,F,1,78,35265,1,1,Own,80042,2/21/2015,Saturday,Highway,5,1,3,Broker,1,3106.809249,7,Compact,10073.49718,blue,12024.26059,1
3816,64,F,0,58,41583,0,1,Own,50049,7/20/2015,Monday,Highway,2,0,50,Phone,1,4500.642198,2,Compact,17897.86056,black,15180.52861,0
3818,63,M,0,31,41441,1,1,Rent,15020,3/4/2016,Friday,Parking Lot,0,0,36,Online,0,8995.394049,5,Compact,16657.08724,silver,22627.86354,0
3820,43,F,1,75,37607,0,0,Own,15045,8/19/2015,Wednesday,Local,0,0,41,Broker,0,2472.495852,3,Compact,27750.4104,gray,62166.5723,0
3823,22,F,1,44,30935,1,0,Rent,50054,7/1/2015,Wednesday,Parking Lot,1,0,0,Online,0,3633.185891,6,Compact,17112.33765,black,31891.67804,0
3825,51,M,1,53,39310,0,0,Own,50044,5/26/2016,Thursday,Highway,1,0,5,Broker,1,3205.439655,7,Medium,25907.43866,gray,26258.1093,0
3826,44,M,0,83,37847,1,1,Own,80042,9/3/2015,Thursday,Parking Lot,1,0,13,Online,0,8320.114117,3,Compact,29357.22558,blue,36257.92172,0
3830,54,M,1,64,39887,1,1,Own,80030,7/18/2016,Monday,Local,4,1,60,Online,1,6184.754833,4,Large,18928.26287,silver,11495.37117,0
3831,26,M,0,69,32587,1,0,Rent,80022,2/5/2015,Thursday,Local,0,0,69,Phone,1,6265.064397,3,Compact,6740.709551,blue,15933.98572,1
3835,36,M,1,93,35827,1,1,Own,80004,4/17/2015,Friday,Parking Lot,0,1,97,Phone,1,4474.267187,6,Medium,66910.58233,other,24582.31422,0
3838,50,F,1,66,39117,1,0,Own,15042,3/30/2015,Monday,Local,0,0,18,Phone,0,5464.903723,3,Large,16786.28845,other,34183.43639,0
3840,50,F,1,70,39124,1,1,Rent,20151,9/18/2016,Sunday,Local,0,0,36,Broker,0,2716.478984,2,Compact,13548.10474,silver,31140.18642,0
3841,48,F,1,82,38717,1,1,Rent,85031,12/12/2015,Saturday,Parking Lot,0,0,4,Phone,1,6617.021825,6,Large,6654.439265,gray,10064.65438,0
3842,34,M,1,41,35260,0,1,Own,15056,9/8/2016,Thursday,Local,4,0,10,Broker,1,6608.120528,4,Medium,9299.201573,silver,16212.81421,0
3843,37,F,1,82,36126,0,0,Rent,80020,3/15/2015,Sunday,Local,0,0,96,Phone,1,1942.363101,7,Large,13695.66103,white,32986.04176,0
3844,36,F,0,79,35838,1,1,Own,80018,4/10/2016,Sunday,Local,0,0,60,Broker,1,5944.602982,7,Large,7607.094133,black,15657.59838,0
3847,56,M,1,86,40245,1,0,Own,20144,2/26/2016,Friday,Parking Lot,0,0,12,Broker,0,4239.483485,6,Medium,45264.71222,red,18953.22133,0
3849,33,M,0,83,34937,1,0,Own,15018,7/16/2015,Thursday,Local,0,0,41,Broker,0,7534.90281,4,Medium,5557.433662,silver,21460.03331,0
3850,47,F,1,77,38508,1,1,Own,15001,9/27/2015,Sunday,Highway,0,0,51,Phone,1,3337.029436,4,Large,27296.9351,silver,14382.73753,0
3851,48,F,1,61,38719,1,1,Own,80103,6/3/2015,Wednesday,Parking Lot,2,0,8,Broker,1,6503.15487,9,Medium,16900.76665,gray,17666.75746,0
3852,53,M,1,64,39722,1,1,Own,80002,2/24/2015,Tuesday,Local,0,0,37,Broker,0,4537.086353,9,Compact,41427.41771,blue,36915.45635,0
3853,25,M,0,81,32201,1,0,Rent,50041,2/4/2015,Wednesday,Local,1,0,36,Online,0,3064.010668,5,Medium,50251.81898,red,24233.76247,0
3855,36,M,1,80,35838,0,1,Rent,50035,9/27/2016,Tuesday,Local,0,0,44,Broker,0,5249.244889,2,Medium,25655.32975,silver,10438.27434,0
3856,48,M,0,74,38714,1,1,Own,80002,4/19/2016,Tuesday,Local,0,0,33,Online,0,7716.648602,10,Compact,14420.86684,other,5993.655866,1
3858,40,M,0,73,36870,1,1,Own,15050,9/10/2016,Saturday,Parking Lot,0,0,85,Phone,1,4850.527142,4,Medium,28602.11301,blue,16959.65813,0
3860,46,M,1,85,38296,1,0,Own,15021,9/9/2016,Friday,Local,1,0,20,Broker,1,4624.618718,6,Medium,16031.32611,black,19189.3038,0
3861,36,M,1,91,35833,1,0,Own,85046,5/10/2016,Tuesday,Local,0,0,95,Phone,0,5711.868223,8,Medium,20794.18716,gray,41593.23674,0
3863,34,M,1,57,35255,1,0,Own,50001,11/26/2016,Saturday,Local,0,1,55,Broker,1,5181.054486,5,Compact,38269.15827,other,10573.73861,0
3867,41,M,1,68,37137,1,1,Own,50051,8/23/2015,Sunday,Local,0,1,50,Broker,1,2869.783404,4,Medium,51849.01573,gray,27804.13577,1
3872,56,F,0,85,40266,1,0,Rent,15043,2/14/2016,Sunday,Highway,0,0,74,Broker,0,4083.310566,6,Medium,33398.53479,gray,14030.60605,0
3875,26,F,1,65,32576,1,0,Rent,15019,8/25/2016,Thursday,Local,2,0,4,Online,1,6316.518467,5,Large,38616.29091,other,26635.09062,0
3876,31,M,1,69,34335,1,1,Own,80031,10/10/2015,Saturday,Parking Lot,0,0,3,Online,1,1937.109622,7,Large,16768.147,black,27604.70887,0
3877,48,F,0,72,38712,1,1,Own,85027,10/2/2015,Friday,Local,0,1,50,Broker,0,4523.584597,4,Large,18902.61409,gray,14717.09048,0
3879,37,F,0,94,36105,0,1,Own,15025,12/25/2016,Sunday,Parking Lot,0,0,50,Broker,0,3087.417098,8,Large,15229.52863,red,19263.01904,0
3881,45,F,1,91,38053,1,0,Own,20119,8/17/2015,Monday,Local,0,0,95,Phone,1,10643.12105,6,Medium,13291.79476,silver,10765.52747,0
3884,38,F,1,45,36387,1,0,Rent,20137,6/12/2016,Sunday,Highway,2,0,33,Broker,1,6883.08144,4,Large,41866.72252,red,24158.46397,1
3886,44,M,0,66,37829,1,0,Own,80014,3/29/2015,Sunday,Highway,0,1,50,Broker,0,3099.054223,3,Large,17479.20136,black,19313.82871,0
3888,42,F,1,75,37379,0,0,Own,15001,11/9/2015,Monday,Local,0,0,82,Phone,1,2544.436061,7,Medium,13153.82137,blue,30673.71617,0
3889,66,F,1,64,41914,1,1,Own,80025,10/26/2016,Wednesday,Parking Lot,0,0,84,Phone,0,2435.50487,5,Large,21141.57423,other,16946.17316,0
3890,50,M,1,79,39136,1,1,Own,85013,2/12/2016,Friday,Parking Lot,4,0,47,Broker,1,3490.620044,10,Compact,77311.89508,black,44036.82919,0
3891,45,M,1,81,38080,1,0,Own,20131,2/6/2015,Friday,Local,3,0,50,Phone,1,3517.802102,4,Compact,72611.62144,blue,9970.383902,1
3893,58,M,0,91,40611,1,1,Own,85029,3/3/2015,Tuesday,Local,0,0,5,Broker,1,3538.34389,7,Large,13372.71507,red,9713.22394,0
3894,46,M,1,61,38274,1,0,Rent,85050,2/14/2015,Saturday,Local,0,1,3,Broker,0,4441.891839,4,Medium,10337.38702,silver,30588.30368,0
3896,24,F,0,26,31794,1,0,Rent,85080,4/26/2015,Sunday,Local,1,1,77,Broker,0,2644.027063,2,Large,22426.028,black,36194.13945,0
3899,27,M,1,78,32962,1,0,Rent,85082,5/19/2015,Tuesday,Parking Lot,6,0,99,Online,1,3445.728353,6,Large,44539.02072,other,22832.94681,0
3900,50,M,1,54,39131,1,1,Rent,85077,9/6/2016,Tuesday,Parking Lot,1,0,19,Phone,0,4239.297158,6,Large,40825.31615,white,26820.55285,0
3903,48,F,0,85,38717,1,0,Own,85027,8/4/2016,Thursday,Highway,0,0,94,Broker,0,5185.365031,8,Compact,57687.55369,black,26188.0534,0
3905,54,M,0,64,39891,1,0,Own,20158,4/6/2016,Wednesday,Local,0,0,90,Broker,0,10588.09165,5,Medium,28636.51324,black,29424.38286,0
3906,53,M,1,91,39702,0,1,Rent,80017,2/11/2015,Wednesday,Parking Lot,0,0,0,Phone,1,4423.787658,4,Medium,35108.0043,gray,34650.42897,0
3907,49,M,1,49,38912,1,0,Own,50008,3/9/2015,Monday,Highway,2,1,5,Broker,1,3774.313833,5,Medium,7271.974233,gray,21851.77287,0
3908,41,F,1,86,37128,1,0,Own,15001,4/20/2016,Wednesday,Parking Lot,3,0,49,Phone,1,6040.641811,8,Large,9990.866424,red,14895.20607,1
3909,45,F,0,68,38073,1,0,Own,80023,10/18/2016,Tuesday,Local,0,0,0,Broker,1,9526.291511,8,Large,15203.22769,white,21034.66866,0
3911,41,M,0,92,37125,1,0,Rent,50021,6/11/2015,Thursday,Local,0,0,2,Broker,0,3771.928171,2,Compact,15405.93431,silver,27113.16161,1
3912,36,M,1,86,35829,1,0,Own,50041,8/15/2016,Monday,Parking Lot,0,0,67,Phone,0,3493.011611,5,Large,61122.16677,red,17572.39827,0
3914,58,M,1,69,40618,1,1,Own,20152,12/5/2015,Saturday,Parking Lot,0,0,98,Broker,0,2953.762621,4,Large,21745.70661,other,17243.19259,0
3915,57,F,1,68,40435,1,0,Rent,20147,3/24/2015,Tuesday,Local,0,1,19,Phone,0,6861.62702,5,Compact,18382.11958,red,9557.529909,0
3917,37,M,1,87,36110,1,1,Own,15012,2/12/2016,Friday,Parking Lot,0,0,26,Broker,0,5550.267203,2,Medium,16702.2783,other,49835.32672,0
3919,26,M,0,87,32565,1,1,Own,85008,7/8/2016,Friday,Highway,1,0,80,Phone,1,5177.954187,8,Medium,18132.36128,gray,13038.14965,0
3922,38,M,0,83,36360,1,1,Rent,15037,9/8/2016,Thursday,Parking Lot,0,0,49,Online,1,6340.094956,1,Compact,11535.66138,white,27246.73151,0
3923,41,M,0,72,37127,1,1,Own,80037,10/16/2015,Friday,Local,0,1,88,Phone,1,2673.087416,4,Medium,21643.05466,red,19118.81257,0
3926,53,F,1,75,39710,1,1,Own,20120,5/31/2015,Sunday,Parking Lot,0,0,64,Broker,0,8714.898016,6,Large,6090.353309,blue,32196.08788,0
3927,27,F,1,72,32961,0,1,Rent,20163,4/24/2015,Friday,Parking Lot,1,0,68,Online,0,4447.410824,8,Compact,17156.8048,blue,22324.97826,0
3928,52,M,0,73,39503,1,1,Own,50002,4/6/2016,Wednesday,Parking Lot,0,0,27,Broker,0,4331.959502,3,Large,21812.31797,white,20843.91708,0
3933,34,F,1,95,35266,1,1,Own,80011,8/28/2016,Sunday,Local,0,0,30,Broker,1,2704.245172,6,Medium,38796.30363,other,21789.24185,1
3934,49,M,1,44,38895,1,1,Own,20103,3/8/2016,Tuesday,Highway,0,1,50,Broker,1,5636.646022,3,Large,56443.30924,red,13017.16957,1
3935,59,M,1,86,40774,1,1,Own,85006,9/30/2015,Wednesday,Highway,0,0,60,Broker,0,1539.959647,6,Compact,48498.74615,white,29706.31758,0
3936,49,M,1,65,38905,1,0,Own,85083,1/25/2016,Monday,Parking Lot,0,0,99,Phone,1,3176.964209,3,Compact,28402.19235,black,13540.89879,1
3939,33,F,1,89,34986,1,1,Own,15007,9/3/2015,Thursday,Local,0,0,36,Broker,1,2525.485901,7,Compact,10016.05416,other,49898.49319,0
3941,43,M,0,78,37623,1,0,Own,85011,4/11/2016,Monday,Local,0,NA,96,Phone,0,4261.421224,2,Medium,22304.95414,gray,31737.62939,0
3944,42,F,1,95,37388,1,1,Own,20108,7/25/2015,Saturday,Parking Lot,0,0,0,Broker,0,1876.028498,5,Large,32872.97353,black,21742.3679,1
3946,43,F,0,55,37610,0,1,Own,15032,4/24/2015,Friday,Local,0,0,36,Online,0,4451.88177,6,Medium,32643.0971,red,10816.15924,0
3947,58,F,0,57,40616,1,0,Own,20103,7/5/2016,Tuesday,Parking Lot,3,0,71,Phone,1,5668.161717,8,Medium,46342.53277,white,39925.19514,1
3949,41,M,1,69,37133,0,0,Own,80031,6/11/2016,Saturday,Local,0,0,37,Broker,0,2206.605581,3,Large,23373.3214,red,21171.51263,0
3950,49,M,0,52,38926,1,1,Rent,85072,3/5/2016,Saturday,Highway,2,0,50,Broker,1,5709.887222,8,Compact,22203.17003,gray,16233.25839,1
3956,60,M,0,64,40942,0,1,Own,80033,12/2/2016,Friday,Parking Lot,5,0,62,Phone,1,1739.296912,6,Compact,27855.12586,other,21836.80469,1
3957,56,M,1,86,40250,1,0,Rent,85018,2/20/2015,Friday,Local,0,NA,2,Phone,0,4281.384153,4,Large,31333.17908,red,29975.55702,0
3959,40,M,1,92,36891,1,1,Own,80030,8/18/2015,Tuesday,Local,0,0,94,Broker,0,4847.998692,11,Medium,31779.55808,blue,16023.25203,0
3963,33,F,1,70,34967,0,1,Rent,80023,6/1/2015,Monday,Local,2,0,49,Broker,1,3218.265507,8,Large,24979.08407,gray,23131.08549,0
3964,32,F,1,87,34647,1,1,Rent,15027,12/13/2015,Sunday,Parking Lot,2,0,69,Phone,1,5108.141142,8,Large,30475.87113,white,57828.84504,1
3965,45,F,1,63,38070,1,1,Rent,80027,7/12/2016,Tuesday,Highway,0,1,80,Phone,1,3131.517146,4,Compact,32434.65656,blue,35491.23259,1
3967,40,F,1,92,36879,0,0,Rent,15035,3/22/2016,Tuesday,Local,0,0,97,Broker,1,6162.729599,7,Medium,3084.493201,gray,32122.43889,0
3969,81,F,1,94,43949,1,1,Own,15026,8/9/2015,Sunday,Highway,0,0,88,Broker,1,7490.091554,7,Large,11154.64025,red,34471.81326,0
3970,56,M,1,89,40260,1,1,Own,85018,4/15/2016,Friday,Local,0,0,6,Phone,1,2477.161433,10,Large,25899.93807,white,13171.48254,0
3971,43,M,1,72,37607,1,1,Own,80047,10/23/2015,Friday,Local,0,0,10,Broker,0,3130.608219,5,Large,28556.58824,red,32716.63339,0
3973,59,M,0,98,40764,1,1,Own,85082,9/19/2015,Saturday,Highway,0,0,54,Phone,1,3297.981017,5,Large,13877.54728,red,32052.82429,0
3975,36,F,0,62,35839,0,1,Rent,85039,2/18/2015,Wednesday,Local,0,1,94,Broker,1,3896.245476,4,Medium,17245.08874,blue,29420.56085,1
3976,40,M,0,74,36888,1,1,Own,15010,7/24/2015,Friday,Parking Lot,0,1,55,Phone,1,4585.62926,5,Compact,17063.06726,gray,13526.04486,0
3977,56,M,0,98,40264,0,0,Own,20163,4/28/2015,Tuesday,Highway,0,0,3,Online,1,6446.897569,5,Large,6316.5845,gray,20659.70654,0
3978,70,M,0,25,42486,1,0,Own,50008,7/18/2016,Monday,Local,0,0,43,Phone,0,3860.308806,3,Medium,20868.49596,blue,59597.32147,0
3979,54,M,0,91,39914,0,0,Rent,50028,3/29/2015,Sunday,Local,0,0,79,Broker,1,4365.672053,4,Compact,10910.11319,gray,7639.962805,0
3982,67,F,1,83,42039,1,1,Own,15003,4/29/2016,Friday,Highway,0,0,44,Phone,1,2768.49562,11,Medium,33196.41965,black,9389.123796,0
3984,20,M,0,75,29956,1,0,Rent,50025,10/28/2015,Wednesday,Local,0,0,14,Online,1,4684.464208,7,Large,13274.67139,blue,21456.52376,0
3986,64,M,1,88,41596,0,0,Rent,15035,9/25/2016,Sunday,Local,0,0,3,Phone,0,8429.14638,3,Large,12360.69936,white,45134.41217,0
3987,28,M,0,75,33330,1,1,Rent,80020,7/18/2015,Saturday,Parking Lot,2,0,42,Online,1,2819.498066,6,Compact,10595.73439,gray,13015.26023,0
3989,40,M,1,79,36884,1,0,Own,80022,10/15/2016,Saturday,Local,0,1,50,Phone,0,8548.015007,7,Compact,22046.33597,white,13534.1047,0
3990,33,M,0,84,34963,1,1,Rent,15024,3/26/2016,Saturday,Local,0,0,100,Phone,1,2956.275935,7,Medium,11471.11693,black,5937.025693,0
3992,50,M,1,43,39136,0,1,Own,15003,12/23/2015,Wednesday,Local,0,0,33,Broker,1,1974.636212,7,Large,28926.42172,silver,20858.18204,1
3993,28,F,1,83,33327,1,1,Rent,15009,8/2/2016,Tuesday,Local,1,0,0,Online,1,4747.839196,5,Compact,19063.19535,white,23169.31694,0
3994,27,M,0,75,32959,0,0,Rent,50022,6/21/2015,Sunday,Local,0,0,99,Online,1,2698.436832,2,Large,11239.39922,silver,37032.03659,0
3997,29,M,1,88,33665,1,0,Own,85065,10/2/2015,Friday,Local,0,1,97,Online,0,4211.700973,4,Medium,18228.47827,white,29287.40581,0
3999,79,F,1,82,43683,1,1,Rent,80022,5/22/2016,Sunday,Local,0,0,2,Broker,1,3868.806916,2,Compact,9233.852339,blue,22394.71061,0
4000,55,F,1,66,40077,1,1,Rent,85078,8/6/2015,Thursday,Parking Lot,1,0,25,Phone,0,6007.608946,4,Medium,15027.97991,silver,27900.88296,0
4002,45,F,1,42,38066,1,0,Rent,15001,11/28/2016,Monday,Parking Lot,2,1,17,Phone,1,4598.927209,7,Large,20569.69569,red,64345.63211,0
4003,23,M,0,57,31344,1,1,Rent,80016,10/25/2015,Sunday,Local,3,0,90,Online,1,2908.220594,6,Compact,7919.666158,silver,20241.51442,0
4004,37,M,0,76,36110,1,1,Own,50021,5/14/2015,Thursday,Local,0,0,11,Broker,0,4264.856531,5,Large,15688.70473,blue,34219.74263,0
4006,50,F,1,78,39116,1,1,Rent,85006,1/21/2015,Wednesday,Highway,0,0,1,Phone,0,3232.425993,7,Large,27480.84196,black,64247.31147,1
4008,41,F,0,80,37133,1,0,Rent,15010,1/26/2016,Tuesday,Highway,0,0,77,Phone,1,4754.247795,2,Compact,35839.48308,white,5653.489138,0
4010,42,M,1,80,37376,1,1,Rent,20102,5/22/2016,Sunday,Parking Lot,0,0,4,Online,0,7522.393869,6,Medium,13420.83107,red,37550.30524,0
